timestamp,hour,day_of_week,road_type,weather_condition,avg_speed,traffic_level
2025-01-01 00:00:00,0,Wednesday,Urban,Rainy,39.89,0
2025-01-01 01:00:00,1,Wednesday,Residential,Foggy,29.75,0
2025-01-01 02:00:00,2,Wednesday,Residential,Rainy,26.62,0
2025-01-01 03:00:00,3,Wednesday,Urban,Rainy,44.11,0
2025-01-01 04:00:00,4,Wednesday,Residential,Sunny,33.19,0
2025-01-01 05:00:00,5,Wednesday,Highway,Foggy,86.77,0
2025-01-01 06:00:00,6,Wednesday,Highway,Foggy,82.29,0
2025-01-01 07:00:00,7,Wednesday,Urban,Foggy,13.34,2
2025-01-01 08:00:00,8,Wednesday,Urban,Foggy,9.55,2
2025-01-01 09:00:00,9,Wednesday,Urban,Rainy,21.02,2
2025-01-01 10:00:00,10,Wednesday,Highway,Sunny,97.64,0
2025-01-01 11:00:00,11,Wednesday,Residential,Foggy,21.44,0
2025-01-01 12:00:00,12,Wednesday,Highway,Cloudy,95.14,0
2025-01-01 13:00:00,13,Wednesday,Urban,Cloudy,54.6,0
2025-01-01 14:00:00,14,Wednesday,Urban,Cloudy,53.63,0
2025-01-01 15:00:00,15,Wednesday,Highway,Rainy,83.25,0
2025-01-01 16:00:00,16,Wednesday,Urban,Foggy,18.24,2
2025-01-01 17:00:00,17,Wednesday,Residential,Foggy,9.92,2
2025-01-01 18:00:00,18,Wednesday,Highway,Foggy,23.55,2
2025-01-01 19:00:00,19,Wednesday,Urban,Rainy,5.0,2
2025-01-01 20:00:00,20,Wednesday,Residential,Cloudy,32.34,0
2025-01-01 21:00:00,21,Wednesday,Highway,Sunny,96.26,0
2025-01-01 22:00:00,22,Wednesday,Residential,Sunny,31.89,0
2025-01-01 23:00:00,23,Wednesday,Residential,Cloudy,32.63,0
2025-01-02 00:00:00,0,Thursday,Urban,Sunny,46.54,0
2025-01-02 01:00:00,1,Thursday,Residential,Cloudy,31.15,0
2025-01-02 02:00:00,2,Thursday,Urban,Sunny,50.9,0
2025-01-02 03:00:00,3,Thursday,Highway,Rainy,89.07,0
2025-01-02 04:00:00,4,Thursday,Urban,Foggy,46.83,0
2025-01-02 05:00:00,5,Thursday,Urban,Foggy,42.18,0
2025-01-02 06:00:00,6,Thursday,Urban,Cloudy,45.55,0
2025-01-02 07:00:00,7,Thursday,Highway,Sunny,44.73,2
